Kept Isomer	Isomer[1]	Isomer[2]	Isomer[3]	Isomer[4]	Isomer[5]	Isomer[6]	Isomer[7]	Isomer[8]	Isomer[9]	Isomer[10]	Isomer[11]	Isomer[12]	Isomer[13]	Isomer[14]	Isomer[15]	Isomer[16]
LM:LMFA06000193	LM:LMFA06000210															
LM:LMFA04000065																
LM:LMFA11000135																
LM:LMFA11000136																
LM:LMFA11000391																
LM:LMFA05000052																
LM:LMFA05000050																
LM:LMFA05000184																
LM:LMFA05000147																
LM:LMFA05000648																
LM:LMFA05000134	LM:LMFA05000559															
LM:LMFA05000124	LM:LMFA05000126															
LM:LMFA06000109																
LM:LMFA11000575																
LM:LMFA06000077																
LM:LMFA06000144																
LM:LMFA12000053																
LM:LMFA12000045																
LM:LMFA05000601																
LM:LMFA12000054																
LM:LMFA11000677																
LM:LMFA11000617																
LM:LMFA11000690																
LM:LMFA11000691																
LM:LMFA11000598																
LM:LMFA11000681																
LM:LMFA11000338																
LM:LMFA11000466																
LM:LMFA05000036	LM:LMFA05000519															
LM:LMFA11000450																
LM:LMPK01000059																
LM:LMFA11000031	LM:LMFA11000484															
LM:LMFA11000474																
LM:LMFA11000519																
LM:LMFA11000417																
LM:LMFA11000025	LM:LMFA11000437															
LM:LMFA05000072																
LM:LMFA05000075																
LM:LMFA05000080																
LM:LMFA11000442																
LM:LMFA11000499																
LM:LMGL00000123																
LM:LMFA05000547	LM:LMFA05000551	LM:LMFA05000620														
LM:LMFA12000250																
LM:LMFA12000261																
LM:LMFA12000262																
LM:LMFA12000253																
LM:LMFA12000251																
LM:LMFA12000255																
LM:LMFA11000706																
LM:LMFA11000708																
LM:LMFA05000612																
LM:LMFA00000019																
LM:LMFA00000021																
LM:LMFA05000504																
LM:LMFA05000507																
LM:LMFA05000522																
LM:LMPK03000012																
LM:LMFA05000089	LM:LMFA05000548	LM:LMFA05000552														
LM:LMFA12000023																
LM:LMFA01120010																
LM:LMFA05000033																
LM:LMFA06000041																
LM:LMFA12000298																
LM:LMFA12000302																
LM:LMFA11000368																
