database_name	Lipid Maps																																																																																																																			
database_version	6/12/2016																																																																																																																			
128.08373	C7H12O2	LM:LMFA01020100	LM:LMFA01020101	LM:LMFA01020117	LM:LMFA01020118	LM:LMFA01020119	LM:LMFA01020120	LM:LMFA01020121	LM:LMFA01020122	LM:LMFA01020123	LM:LMFA01030012	LM:LMFA01030013	LM:LMFA01030014	LM:LMFA01030015	LM:LMFA01030016	LM:LMFA01030452	LM:LMFA01030793	LM:LMFA01030794	LM:LMFA01030964	LM:LMFA06000026	LM:LMFA07010776	LM:LMFA07010870	LM:LMFA07010884	LM:LMFA07010936	LM:LMFA07010940	LM:LMFA07040011	LM:LMFA07040012	LM:LMFA12000013	LM:LMFA12000245																																																																																							
128.120115	C8H16O	LM:LMFA01050367	LM:LMFA05000090	LM:LMFA05000093	LM:LMFA05000124	LM:LMFA05000126	LM:LMFA05000128	LM:LMFA05000469	LM:LMFA05000470	LM:LMFA05000474	LM:LMFA05000475	LM:LMFA05000481	LM:LMFA05000560	LM:LMFA05000566	LM:LMFA05000572	LM:LMFA05000702	LM:LMFA05000704	LM:LMFA06000028	LM:LMFA06000124	LM:LMFA12000025	LM:LMFA12000026	LM:LMFA12000031	LM:LMFA12000041	LM:LMFA12000042	LM:LMFA12000050	LM:LMFA12000054	LM:LMFA12000055	LM:LMFA12000091	LM:LMFA12000092	LM:LMFA12000100	LM:LMFA12000112																																																																																					
128.1565	C9H20	LM:LMFA11000333	LM:LMFA11000433	LM:LMFA11000579	LM:LMFA11000603	LM:LMFA11000607	LM:LMFA11000611	LM:LMFA11000612	LM:LMFA11000623	LM:LMFA11000626	LM:LMFA11000671	LM:LMFA11000699	LM:LMFA11000701																																																																																																							
129.115364	C7H15NO	LM:LMFA08020142																																																																																																																		
130.026609	C5H6O4	LM:LMFA07010962																																																																																																																		
130.02661	C5H6O4	LM:LMFA01170063	LM:LMFA01170099	LM:LMFA01170109	LM:LMFA01170116																																																																																																															
130.062995	C6H10O3	LM:LMFA01020275	LM:LMFA01020276	LM:LMFA01020280	LM:LMFA01060007	LM:LMFA01060008	LM:LMFA01060009	LM:LMFA01060010	LM:LMFA07040003																																																																																																											
130.09938	C7H14O2	LM:LMFA01010007	LM:LMFA01020080	LM:LMFA01020081	LM:LMFA01020082	LM:LMFA01020083	LM:LMFA01020084	LM:LMFA01020085	LM:LMFA01020086	LM:LMFA01020144	LM:LMFA01020145	LM:LMFA01020146	LM:LMFA07010176	LM:LMFA07010417	LM:LMFA07010433	LM:LMFA07010506	LM:LMFA07010511	LM:LMFA07010567	LM:LMFA07010673	LM:LMFA07010881	LM:LMFA07010942	LM:LMFA07010953	LM:LMFA12000014	LM:LMFA12000021																																																																																												
130.135765	C8H18O	LM:LMFA05000130	LM:LMFA05000472	LM:LMFA05000473	LM:LMFA05000476	LM:LMFA05000479	LM:LMFA05000482	LM:LMFA05000490	LM:LMFA05000492	LM:LMFA05000547	LM:LMFA05000551	LM:LMFA05000553	LM:LMFA05000568	LM:LMFA05000620	LM:LMFA05000630	LM:LMFA05000703																																																																																																				
131.021859	C4H5NO4	LM:LMFA01170110																																																																																																																		
131.058243	C5H9NO3	LM:LMFA08010021																																																																																																																		
131.058244	C5H9NO3	LM:LMFA01060169	LM:LMFA01060171	LM:LMFA01100055																																																																																																																
131.094629	C6H13NO2	LM:LMFA01100035	LM:LMFA01100042	LM:LMFA01100047	LM:LMFA01100048																																																																																																															
132.005875	C4H4O5	LM:LMFA01170061	LM:LMFA01170120																																																																																																																	
132.021129	C8H4O2	LM:LMFA01030961																																																																																																																		
132.042259	C5H8O4	LM:LMFA01050460	LM:LMFA01050466	LM:LMFA01050472	LM:LMFA01050482																																																																																																															
132.04226	C5H8O4	LM:LMFA01020277	LM:LMFA01170103	LM:LMFA01170105	LM:LMFA01170119																																																																																																															
132.060888	C6H12OS	LM:LMFA12000335																																																																																																																		
132.078644	C6H12O3	LM:LMFA01050441	LM:LMFA01050443																																																																																																																	
132.078645	C6H12O3	LM:LMFA01050011	LM:LMFA01050012	LM:LMFA01050013	LM:LMFA01050014	LM:LMFA01050015	LM:LMFA01050376	LM:LMFA01050377	LM:LMFA01050380	LM:LMFA01050381	LM:LMFA01050387	LM:LMFA01050402	LM:LMFA01050408	LM:LMFA01050432																																																																																																						
132.089878	C5H12N2O2	LM:LMFA01100057																																																																																																																		
134.03678	C8H6O2	LM:LMFA01030743	LM:LMFA01030744																																																																																																																	
134.04015	C5H10O2S	LM:LMFA07010949																																																																																																																		
134.057909	C5H10O4	LM:LMFA01050453	LM:LMFA01050468																																																																																																																	
134.05791	C5H10O4	LM:LMFA01050384																																																																																																																		
134.076538	C6H14OS	LM:LMFA05000539																																																																																																																		
134.10955	C10H14	LM:LMPR0102090014																																																																																																																		
135.053158	C4H9NO4	LM:LMFA01050439																																																																																																																		
136.029107	C5H9O2Cl	LM:LMFA01090154																																																																																																																		
136.088815	C9H12O	LM:LMFA06000136	LM:LMFA06000137	LM:LMFA06000138																																																																																																																
136.1252	C10H16	LM:LMFA11000042	LM:LMFA11000048	LM:LMPR0102010005	LM:LMPR0102010020	LM:LMPR0102010021	LM:LMPR0102010022	LM:LMPR0102010023	LM:LMPR0102090002	LM:LMPR0102090013	LM:LMPR0102090021	LM:LMPR0102090022	LM:LMPR0102090026	LM:LMPR0102090027	LM:LMPR0102090062	LM:LMPR0102120011	LM:LMPR0102120012	LM:LMPR0102120013	LM:LMPR0102120015	LM:LMPR0102120021	LM:LMPR0102120035	LM:LMPR0102120036	LM:LMPR0102120037	LM:LMPR0102120038	LM:LMPR0102130001																																																																																											
137.93164	C2H3BrO2	LM:LMFA01090074																																																																																																																		
138.104465	C9H14O	LM:LMFA06000045	LM:LMFA06000046	LM:LMFA06000047	LM:LMFA06000048	LM:LMFA06000049	LM:LMFA06000117	LM:LMFA06000135	LM:LMFA06000139																																																																																																											
138.14085	C10H18	LM:LMFA11000036	LM:LMFA11000046	LM:LMFA11000080	LM:LMFA11000506	LM:LMFA11000658	LM:LMFA11000665																																																																																																													
139.943186	C3H2Cl2O2	LM:LMFA01090072	LM:LMFA01090073																																																																																																																	
